Nombre,Popularidad,Valoración,Plataforma,Desarrollador,Género,Jugadores,Lanzamiento,Precio
Baldur's Gate: Dark Alliance 2,Excelente,7.0,PC,"""Desarrollador:Square One Games Inc.",Rol,1-2,20 de julio de 2022,0.0
XIII (2020),Excelente,8.1,PC,PlayMagic,Acció,1,10 de noviembre de 2020,34.95
Jam City Rollergirls,Excelente,8.7,PC,Frozen Codeb,Deportes,,3º cuarto de 2010,0.0
Battlezone: Gold Edition,Excelente,0.0,PC,Rebellion,Acció,"""Jugadores:1-4",11 de mayo de 2018,0.0
OZombi,Excelente,8.7,PC,Spicy H,Acció,,Cancelad,0.0
Hit Monkey,Excelente,0.0,PC,High Moon Studi,Acció,,Por determinar en Españ,0.0
Innergy,Excelente,9.7,PC,UbiSoft,Otros,,Primera mitad de 2011,0.0
Destroyer: The U-Boat Hunt,Excelente,0.0,PC,Iron Wolf Studio S.A.,Simulació,1,28 de septiembre de 2022,0.0
Storm in a Teacup,Excelente,4.0,PC,Cobra Mobi,Acció,1,19 de enero de 2012,0.0
Disc R,Excelente,9.0,PC,"""Desarrollador:Terri",Acció,1,22 de octubre de 2020,0.0
Zi,Excelente,5.6,PC,Eipix,Otros,,Por determinar en Españ,0.0
Duke Begins,Excelente,8.8,PC,Gearbox,Acció,,Por determinar en Españ,0.0
Proun,Excelente,8.5,PC,Joost Van Dongen,Otros,,24 de junio de 2011,0.0
MilitAnt,Excelente,0.0,PC,Xibalba Studi,Acció,1,12 de julio de 2016,0.0
cessary Forc,Excelente,6.4,PC,Midway,Acció,,Por determinar en Españ,0.0
PikG,Excelente,5.5,PC,concept,Acció,,17 de diciembre de 2009,0.0
District 187: Sin Streets,Excelente,9.8,PC,CJ E&M Gam,Acció,,Por determinar en Españ,0.0
Battle Slots,Excelente,8.5,PC,"""Desarrollador:Phantom EFX",Acció,,Por determinar en Españ,0.0
KrabbitWorld Origins,Excelente,5.5,PC,KrabbitSoft Studios Inc.,Acció,,Por determinar en Españ,0.0
Magnetis,Excelente,5.2,PC,Yullaby,Otros,1-4,6 de noviembre de 2009,0.0
"""Nombre:My Country",Notable,6.7,PC,Vortex,Otros,,Por determinar en Españ,0.0
Metro: Exodus,Notable,8.7,PC,4A Gam,Acció,1,15 de febrero de 2019,34.95
Battlefield 2042,Notable,6.3,PC,ICE,Acció,1-128,19 de noviembre de 2021,34.99
The Walking Dead: Last Mil,Notable,7.0,PC,Skybound Gam,Otros,,3º trimestre de 2022,0.0
PixelJunk 1-6,Notable,9.0,PC,Q-Gam,Acció,1-4,Por determinar en Españ,0.0
Here Comes Launchman,Notable,6.0,PC,The Layabout,Acció,,2012,0.0
