;Nombre;Popularidad;Valoración;Plataforma;Desarrollador;Género;Jugadores;Lanzamiento;Precio
139;Eets Munchies;Excelente;3.0;PC;Klei Entertainment;Otros;1;6 de marzo de 2014;0.0
140;Turbo Golf Racing;Excelente;0.0;PC;Hugecalf Studi;Deportes;Masivo;4 de agosto de 2022;0.0
141;Baldur's Gate: Dark Alliance 2;Excelente;7.0;PC;Desarrollador:Square One Games Inc.;Rol;Cooperativo;20 de julio de 2022;0.0
142;XIII (2020);Excelente;8.1;PC;PlayMagic;Acción;1;10 de noviembre de 2020;34.95
143;Jam City Rollergirls;Excelente;8.7;PC;Frozen Codeb;Deportes;;3º cuarto de 2010;0.0
144;Battlezone: Gold Edition;Excelente;0.0;PC;Rebellion;Acción;Multijugador;11 de mayo de 2018;0.0
145;OZombi;Excelente;8.7;PC;Spicy H;Acción;;Cancelad;0.0
146;Hit Monkey;Excelente;0.0;PC;High Moon Studi;Acción;;Por determinar en Españ;0.0
147;Innergy;Excelente;9.7;PC;UbiSoft;Otros;;Primera mitad de 2011;0.0
148;Destroyer: The U-Boat Hunt;Excelente;0.0;PC;Iron Wolf Studio S.A.;Simulación;1;28 de septiembre de 2022;0.0
149;Storm in a Teacup;Excelente;4.0;PC;Cobra Mobi;Acción;1;19 de enero de 2012;0.0
150;Disc R;Excelente;9.0;PC;Desarrollador:Terri;Acción;1;22 de octubre de 2020;0.0
151;Zi;Excelente;5.6;PC;Eipix;Otros;;Por determinar en Españ;0.0
152;Duke Begins;Excelente;8.8;PC;Gearbox;Acción;;Por determinar en Españ;0.0
153;Proun;Excelente;8.5;PC;Joost Van Dongen;Otros;;24 de junio de 2011;0.0
154;MilitAnt;Excelente;0.0;PC;Xibalba Studi;Acción;1;12 de julio de 2016;0.0
155;cessary Forc;Excelente;6.4;PC;Midway;Acción;;Por determinar en Españ;0.0
156;PikG;Excelente;5.5;PC;concept;Acción;;17 de diciembre de 2009;0.0
157;District 187: Sin Streets;Excelente;9.8;PC;CJ E&M Gam;Acción;;Por determinar en Españ;0.0
158;Battle Slots;Excelente;8.5;PC;Desarrollador:Phantom EFX;Acción;;Por determinar en Españ;0.0
159;KrabbitWorld Origins;Excelente;5.5;PC;KrabbitSoft Studios Inc.;Acción;;Por determinar en Españ;0.0
160;Magnetis;Excelente;5.2;PC;Yullaby;Otros;Multijugador;6 de noviembre de 2009;0.0
161;"""Nombre:My Country";Notable;6.7;PC;Vortex;Otros;;Por determinar en Españ;0.0
162;Metro: Exodus;Notable;8.7;PC;4A Gam;Acción;1;15 de febrero de 2019;34.95
163;Battlefield 2042;Notable;6.3;PC;ICE;Acción;Masivo;19 de noviembre de 2021;34.99
164;The Walking Dead: Last Mil;Notable;7.0;PC;Skybound Gam;Otros;;3º trimestre de 2022;0.0
165;PixelJunk 1-6;Notable;9.0;PC;Q-Gam;Acción;Multijugador;Por determinar en Españ;0.0
166;Here Comes Launchman;Notable;6.0;PC;The Layabout;Acción;;2012;0.0
167;Earth No M;Notable;6.3;PC;3D Realm;Acción;;Por determinar en Españ;0.0
168;Gridrunner Revolution;Notable;5.1;PC;Llamasoft;Acción;;25 de septiembre de 2009;0.0
169;Angry Video Game Nerd II;Notable;0.0;PC;FreakZone Gam;Acción;1;2016;0.0
170;Dinner Dat;Notable;8.0;PC;Stout Gam;Otros;1;1 de marzo de 2011;0.0
171;Walt;Notable;9.0;PC;Blossom Min;Acción;;Por determinar en Españ;0.0
172;Brav;Notable;6.7;PC;isney Interactiv;Acción;;Por determinar en España;0.0
173;MDK 2;Notable;7.7;PC;BioW;Acción;;23 de marzo de 2000;0.0
174;Chi;Notable;5.8;PC;Zoë M;Otros;1;7 de septiembre de 2010;0.0
175;Attack of the 50ft Robot!;Notable;6.4;PC;igiPen Institute of Technology;Acción;;2 de octubre de 2009;0.0
176;Dizzy Returns;Notable;7.2;PC;Blitz Gam;Acción;;Por determinar en Españ;0.0
177;Homefront: The Rock;Notable;7.0;PC;Kaos Studi;Acción;Multijugador;28 de julio de 2011;0.0
178;Mighty Gunvolt;Notable;0.0;PC;Inti-Creat;Acción;1;29 de septiembre de 2015;0.0
179;Dead to Rights;Notable;6.7;PC;LSP;Acción;;21 de noviembre de 2003;0.0
180;Bejeweled Twist;Notable;0.0;PC;PopCap;Otros;Cooperativo;18 de noviembre de 2008;0.0
181;The Unlikely Legend of Rusty Pup;Notable;8.0;PC;Gory Detail Limit;Acción;1;19 de octubre de 2018;0.0
182;Super Mighty Power Man;Notable;0.0;PC;Box Hedge Gam;Acción;1;Por determinar en Españ;0.0
183;Chester On;Notable;0.0;PC;Desarrollador:Brilliant Blue-G;Acción;1;1 de junio de 2011;0.0
184;Roog;Notable;5.4;PC;SouthPeak Int.;Otros;;26 de junio de 2009;14.99
185;Paper Man;Notable;6.3;PC;Gravity;Acción;;1º trimestre de 2006;0.0
186;Crossroads;Notable;0.0;PC;Piece of Cake studi;Acción;;Por determinar en Españ;0.0
187;Space Ark;Notable;5.5;PC;Strawdog Studi;Otros;Cooperativo;16 de junio de 2010;0.0
188;Planck;Notable;5.0;PC;ShadeGrown Gam;Acción;;Por determinar en Españ;0.0
189;Positron VFX;Notable;3.0;PC;Retroburn Game Studi;Otros;;Por determinar en Españ;0.0
190;Summum Aeterna;Notable;9.0;PC;Aeternum Game Studio S.L.;Acción;1;16 de junio de 2022Juego con acceso anticipad;0.0
191;Fist of Awes;Notable;4.5;PC;Gunstar Studi;Acción;;Por determinar en Españ;0.0
192;Trin;Notable;7.8;PC;Trinoteam;Otros;1;27 de enero de 2011;0.0
